conditionId,question,market_category,n_trades,n_buy,n_sell,buy_yes_count,buy_no_count,sell_yes_count,sell_no_count,buy_yes_cost,buy_no_cost,buy_yes_avg_price,buy_no_avg_price,combined_buy_price,yes_net_position,no_net_position,total_cashflow,both_sides_buy,duration_sec,first_trade,last_trade
0xb58b35f22e86d3d05dbd6854eadbc6d3e093e1a4e3a81d983039479ceaa13104,"Bitcoin Up or Down - February 13, 2:55AM-3:00AM ET",crypto,9,9,0,4,5,0,0,7.52,227.78,0.0347,0.6292,0.6638,217.16,362.02,-235.3,True,172,1770969345,1770969517
0xb6d9148528fb13725c7525bf1297aff1239f0b1b70b632593a5fea9bae5a6208,"Bitcoin Up or Down - February 12, 9:45PM-10:00PM ET",crypto,42,31,11,13,18,7,4,833.22,617.2,0.5535,0.3356,0.8891,516.92,1147.06,-839.14,True,688,1770950711,1770951399
0xb7a04e484a4e0f4708f5b8ac0f26a08bdbc08c462cf25c1b15391252b5037320,"Bitcoin Up or Down - February 13, 3:00AM-3:15AM ET",crypto,14,12,2,1,11,0,2,118.0,329.52,0.5,0.1907,0.6907,236.0,1677.96,-440.89,True,596,1770969613,1770970209
0xb7ad240be751fea752ee7fb0f6d246dbbe71c0997bb6c7dc25767b6e47e0c0bc,"Bitcoin Up or Down - February 12, 10:00PM-10:15PM ET",crypto,16,14,2,10,4,0,2,593.37,230.54,0.5015,0.6699,1.1714,1183.19,77.0,-750.9,True,424,1770951607,1770952031
0xbc70b6db4e87fb3fae8bd1845bd2b1f8553d9cc6173d9687f9026aa0b9807567,"Ethereum Up or Down - February 12, 11:30PM-11:45PM ET",crypto,24,24,0,15,9,0,0,555.93,322.26,0.4722,0.5394,1.0116,1177.4,597.42,-878.2,True,698,1770957005,1770957703
0xbcd12d2bc9bbca56f3cef3fe9dfe65118e9482119ad4c19d1c57477a0daa16de,"Bitcoin Up or Down - February 12, 11:30PM-11:35PM ET",crypto,18,17,1,4,13,1,0,120.05,629.09,0.3895,0.6113,1.0008,290.2,1029.08,-742.85,True,124,1770957005,1770957129
0xbce01fa6b9a5823661de8d84afe23a0a97da0e88f030032fc9cb999b8523793d,"Bitcoin Up or Down - February 13, 3:10AM-3:15AM ET",crypto,7,7,0,6,1,0,0,340.49,5.42,0.563,0.4075,0.9705,604.75,13.3,-345.91,True,130,1770970205,1770970335
0xbe75335b1bc42d4720b577bf2763336ab00f4a4bb0dec0ec0f7ac4b8e33a2f50,"Bitcoin Up or Down - February 13, 12:05AM-12:10AM ET",crypto,11,2,9,1,1,9,0,24.87,81.46,0.52,0.8066,1.3266,-773.12,101.0,191.5,True,54,1770959109,1770959163
0xbf3355046565c23ff95968a426e54b422fd2b93484bc9bd3c0cc61511fa9c8ea,"Bitcoin Up or Down - February 13, 2:50AM-2:55AM ET",crypto,8,8,0,2,6,0,0,19.75,143.52,0.6216,0.4748,1.0964,31.77,302.27,-163.27,True,196,1770969009,1770969205
0xc01a4ef72130fd754b36d893925912c3d2014c2e095e14ab370cbb85aa34d37b,"Bitcoin Up or Down - February 13, 12:15AM-12:20AM ET",crypto,14,13,1,8,5,0,1,325.27,181.39,0.5992,0.4948,1.0939,542.87,324.73,-487.81,True,106,1770959705,1770959811
0xc13bae85f78998d908434139319f58c9de14ce1f02400f807ffd6b466c8d25dd,"Bitcoin Up or Down - February 13, 12:40AM-12:45AM ET",crypto,19,16,3,5,11,0,3,154.02,474.32,0.5034,0.6219,1.1253,305.94,575.43,-565.0,True,222,1770961207,1770961429
0xc1e6108ef7af66de2a15f583ae7411b2d3f231b0753875ef0f1febd46de348b0,"Bitcoin Up or Down - February 12, 11:50PM-11:55PM ET",crypto,4,4,0,4,0,0,0,141.63,0.0,0.6043,,0.6043,234.36,0.0,-141.63,False,34,1770958209,1770958243
0xc24cd07c50aa05b360dd5bf8472d21c23c7e1531fe058f66127b361fbdd7e3f0,"Bitcoin Up or Down - February 13, 3:30AM-3:35AM ET",crypto,6,5,1,5,0,0,1,73.14,0.0,0.3533,,0.3533,207.04,-0.43,-72.99,False,168,1770971443,1770971611
0xc2e6cdf13b697598d1e1d9827cf38afbfe5950dd624622bfcdc55f8dad39f807,"Bitcoin Up or Down - February 13, 2:00AM-2:05AM ET",crypto,32,22,10,12,10,3,7,377.58,385.79,0.573,0.5292,1.1022,569.99,353.36,-589.32,True,200,1770966007,1770966207
0xc2e8a403d55434e6c8d1213af10652a52dcac6968f16ec7e34d7e6d65b12ba32,"Bitcoin Up or Down - February 12, 9:40PM-9:45PM ET",crypto,11,11,0,6,5,0,0,119.59,205.93,0.3835,0.5784,0.962,311.8,356.03,-325.52,True,74,1770950443,1770950517
0xc44edc8500693e958cab44208908b26362cfac3796117daa7b541c2a421d817c,"Bitcoin Up or Down - February 13, 1:15AM-1:20AM ET",crypto,31,18,13,14,4,3,10,556.99,149.21,0.5919,0.5351,1.127,664.35,-439.28,-382.35,True,224,1770963305,1770963529
0xc552665f6a692b1abfe999a974226c6d9df066774bdfc72957d0b67d41d218fd,"Ethereum Up or Down - February 12, 9:00PM-9:15PM ET",crypto,33,27,6,14,13,1,5,488.3,260.9,0.6426,0.467,1.1096,740.83,409.85,-682.84,True,598,1770948007,1770948605
0xc76d1c928b516be86d8b00634c1ad8bf483609c420a568bd6725cd5571be05f4,"Bitcoin Up or Down - February 13, 1:35AM-1:40AM ET",crypto,29,25,4,17,8,3,1,710.96,428.11,0.4911,0.6208,1.1119,1145.59,640.51,-992.97,True,212,1770964509,1770964721
0xc81165f2f99b17728317265e57c8709f742c395d46cc3353b992f87a479845d0,"Bitcoin Up or Down - February 13, 1:45AM-2:00AM ET",crypto,25,19,6,7,12,0,6,517.46,344.58,0.572,0.2468,0.8189,904.59,390.86,-428.28,True,452,1770965123,1770965575
0xc86c42ec56f390a453d1c320d709fc69c6dcdaa79d45ae35a652028b3c88523f,"Ethereum Up or Down - February 12, 10:15PM-10:30PM ET",crypto,12,12,0,6,6,0,0,124.86,72.76,0.7301,0.2811,1.0112,171.03,258.82,-197.62,True,648,1770952507,1770953155
0xc897aaf02197ed2143086c888bb7d0329017f8ee54db463c82e7e854da3217fa,"Ethereum Up or Down - February 12, 9PM ET",crypto,45,45,0,33,12,0,0,823.46,390.93,0.6293,0.3283,0.9576,1308.51,1190.65,-1214.38,True,2772,1770948303,1770951075
